Weather,Scheme,Mean effective user rate (Mbps),UE count,CSI-RS overhead (%),SSB overhead (%),Data fraction (%),Sensing use (%),Fallback (%)
Macro average,Conventional 4-beam,142.248,32,1.90,0.52,66.75,0.00,0.00
Macro average,Conventional 12-beam,115.890,32,5.71,0.52,66.75,0.00,0.00
Macro average,Perception-assisted,146.332,32,1.56,0.52,66.75,54.35,45.65
