condition,csi_rs_period_ms,detector,handover_count,mean_csi_overhead,mean_ctrl_overhead,mean_data_fraction,mean_dl_available_fraction,mean_mcs_index,mean_sensing_candidate_beams_when_used,mean_sinr_db,mean_ssb_overhead,mean_system_rate_bps,mean_system_rate_delta_vs_baseline_bps,mean_system_rate_delta_vs_baseline_percent,mean_tbler,mean_ue_rate_when_scheduled_bps,outage_fraction,p05_mcs_index,p05_sinr_db,p05_system_rate_bps,p05_ue_rate_when_scheduled_bps,paper_primary_detector,sensing_fallback_fraction,sensing_gate_rejected_fraction,sensing_hint_usage_fraction,source,weather_id
conventional_4beam,5.0,,25,0.019047619047619046,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,14.188402751661352,0.005194805194805195,4843733649.459125,0.0,0.0,0.0,338077856.24397445,0.005478884658770446,-1.0,-3.8018245697021484,0.0,33539704.192768443,,0.0,,0.0,,clear_day
conventional_12beam,5.0,,25,0.05714285714285715,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,15.74302287302693,0.005194805194805195,4065055556.123248,-778678093.3358765,-16.075989096197052,0.0,364793781.77683234,0.0027918781725888315,-1.0,0.07536878436803818,0.0,67443382.95676492,,0.0,,0.0,,clear_day
sensing_imm,5.0,top1_ce_cross_agent,25,0.013883026695526698,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,2.579443502708066,13.675498313297025,0.005194805194805195,4974483246.330359,130749596.8712349,2.699355627984108,0.0,332667461.8821066,0.010503224259332282,-1.0,-6.512101173400879,0.0,19437211.2642635,v3_rt_anchor_beam_top1_ce_cross_agent,0.23652146464646465,0.03970302139992853,0.7634785353535354,v9_source_reused,clear_day
conventional_4beam,5.0,,39,0.019047619047619046,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,12.814666620406147,0.005194805194805195,4722271643.357729,0.0,0.0,0.0,327935530.7887313,0.007994879349046016,-1.0,-13.524823188781738,0.0,4183033.8063565167,,0.0,,0.0,,rain_fog_day
conventional_12beam,5.0,,39,0.05714285714285715,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,12.648276909426018,0.005194805194805195,3690936736.7153254,-1031334906.6424036,-21.839804749332085,0.0,329964544.82103765,0.010665748600325084,-1.0,-13.775776863098145,0.0,3951616.3685105066,,0.0,,0.0,,rain_fog_day
sensing_imm,5.0,top1_ce_cross_agent,39,0.015727212602212604,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,2.769119326888251,12.215632635570914,0.005194805194805195,4825644120.749521,103372477.3917923,2.1890413173751737,0.0,323725809.45074767,0.019335914504561656,-1.0,-14.495755195617676,0.0,3357191.4951135586,v3_rt_anchor_beam_top1_ce_cross_agent,0.43350694444444443,0.15633226776983827,0.5664930555555555,rain_margin010_refresh,rain_fog_day
conventional_4beam,5.0,,31,0.019047619047619046,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,10.53384303497157,0.005194805194805195,4089815443.427313,0.0,0.0,0.0,287830901.3288576,0.02085199402857752,-1.0,-14.203617095947266,0.0,3591657.0777242836,,0.0,,0.0,,night
conventional_12beam,5.0,,31,0.05714285714285715,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,,11.497826147763174,0.005194805194805195,3369419990.8777995,-720395452.5495133,-17.61437557548596,0.0,302560162.44616973,0.016478458049886614,-1.0,-12.560646057128906,0.0,5185156.031088396,,0.0,,0.0,,night
sensing_imm,5.0,top1_ce_cross_agent,31,0.01705146705146705,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,2.605774278215223,10.655153636257829,0.005194805194805195,4247768263.229887,157952819.80257416,3.862101407446588,0.0,292242087.6386031,0.023487204433711495,-1.0,-14.803629875183105,0.0,3133216.154846278,v3_rt_anchor_beam_top1_ce_cross_agent,0.6993371212121212,0.6049930536836212,0.3006628787878788,v9_source_reused,night
